0 0.00238574  0.00465988  -0.00561584  0.00878215  0.00872174  -0.0126828 
1 0.00476775  0.00930577  -0.0111745  0.0174455  0.017213  -0.0249636 
2 0.00714247  0.0139243  -0.0166217  0.0258775  0.0252585  -0.0364692 
3 0.00950647  0.0185027  -0.0219065  0.0339733  0.032663  -0.0468652 
4 0.0118565  0.0230289  -0.0269815  0.0416368  0.0392556  -0.0558643 
5 0.0141895  0.0274914  -0.0318036  0.0487813  0.0448925  -0.0632326 
6 0.0165025  0.0318794  -0.0363336  0.0553305  0.0494593  -0.0687934 
7 0.0187927  0.036183  -0.0405371  0.0612186  0.0528719  -0.0724293 
8 0.0210576  0.0403928  -0.0443839  0.0663908  0.0550769  -0.0740816 
9 0.0232946  0.0445  -0.0478488  0.0708034  0.056051  -0.0737486 
10 0.0255016  0.0484968  -0.0509107  0.0744235  0.0557997  -0.0714823 
11 0.0276763  0.0523758  -0.0535533  0.0772289  0.0543552  -0.0673832 
12 0.0298169  0.0561304  -0.0557647  0.0792076  0.0517743  -0.0615948 
13 0.0319214  0.0597547  -0.0575371  0.0803575  0.0481353  -0.0542969 
14 0.0339882  0.0632436  -0.058867  0.0806857  0.0435349  -0.0456987 
15 0.0360159  0.0665922  -0.0597543  0.0802078  0.0380849  -0.0360311 
16 0.038003  0.0697968  -0.060203  0.0789472  0.031909  -0.0255401 
17 0.0399482  0.0728538  -0.0602202  0.0769343  0.0251393  -0.014479 
18 0.0418506  0.0757605  -0.0598159  0.0742057  0.0179127  -0.00310253 
19 0.0437092  0.0785146  -0.0590031  0.0708036  0.0103686  0.00833992 
20 0.045523  0.0811145  -0.0577972  0.0667743  0.00264507  0.0196094 
21 0.0472915  0.083559  -0.0562158  0.0621683  -0.00512307  0.0304821 
22 0.049014  0.0858474  -0.0542781  0.0570387  -0.0128069  0.0407536 
23 0.05069  0.0879794  -0.0520053  0.0514409  -0.0202854  0.0502416 
24 0.0523192  0.0899554  -0.0494195  0.0454316  -0.0274471  0.0587883 
25 0.0539014  0.091776  -0.0465441  0.0390684  -0.034191  0.0662625 
26 0.0554364  0.0934421  -0.0434031  0.0324088  -0.0404284  0.0725593 
27 0.0569242  0.0949552  -0.040021  0.02551  -0.0460827  0.0776014 
28 0.0583647  0.0963169  -0.0364226  0.0184278  -0.0510904  0.0813379 
29 0.0597582  0.0975294  -0.0326328  0.011217  -0.0554008  0.0837432 
30 0.0611048  0.098595  -0.0286762  0.00392988  -0.0589761  0.0848162 
31 0.0624048  0.0995161  -0.0245772  -0.00338314  -0.061791  0.0845778 
32 0.0636587  0.100296  -0.0203596  -0.0106745  -0.0638318  0.083069 
33 0.0648668  0.100937  -0.0160466  -0.0178993  -0.0650962  0.0803486 
34 0.0660296  0.101442  -0.0116606  -0.025016  -0.0655921  0.0764907 
35 0.0671477  0.101816  -0.00722323  -0.031986  -0.0653367  0.0715823 
36 0.0682218  0.102062  -0.00275494  -0.0387741  -0.0643557  0.0657207 
37 0.0692525  0.102182  0.00172478  -0.0453485  -0.0626819  0.0590106 
38 0.0702405  0.102182  0.00619756  -0.0516807  -0.0603543  0.0515627 
39 0.0711865  0.102064  0.0106462  -0.0577458  -0.0574174  0.0434905 
40 0.0720915  0.101833  0.0150549  -0.063522  -0.0539193  0.0349086 
41 0.0729562  0.101493  0.0194087  -0.0689908  -0.0499117  0.0259311 
42 0.0737815  0.101048  0.0236942  -0.0741369  -0.0454479  0.0166695 
