2 0.562915
4 0.391618
6 0.318015
8 0.274638
10 0.245222
12 0.223596
14 0.206837
16 0.193355
18 0.182207
20 0.172787
22 0.164692
24 0.157638
26 0.151418
28 0.145881
30 0.140910
32 0.136415
34 0.132324
36 0.128580
38 0.125138
40 0.121957
42 0.119008
44 0.116262
46 0.113698
48 0.111297
50 0.109042
52 0.106918
54 0.104914
56 0.103018
58 0.101222
60 0.099516
62 0.097894
64 0.096349
66 0.094875
68 0.093466
70 0.092118
72 0.090827
74 0.089589
76 0.088400
78 0.087257
80 0.086157
82 0.085098
84 0.084077
86 0.083092
88 0.082141
90 0.081221
92 0.080332
94 0.079472
96 0.078638
98 0.077830
100 0.077047
