12.013630 0.000058
36.040890 0.000316
60.068151 0.000886
84.095411 0.001644
108.122671 0.002401
132.149932 0.003009
156.177192 0.003629
180.204452 0.003883
204.231712 0.004129
228.258973 0.003916
252.286233 0.003617
276.313493 0.003350
300.340754 0.002722
324.368014 0.002235
348.395274 0.001652
372.422534 0.001303
396.449795 0.001007
420.477055 0.000641
444.504315 0.000520
468.531576 0.000266
492.558836 0.000187
516.586096 0.000104
540.613356 0.000062
564.640617 0.000021
588.667877 0.000025
612.695137 0.000017
636.722398 0.000008
660.749658 0.000004
684.776918 0.000000
708.804178 0.000000
